gene_id	U4-CCD30-1	U2-CCD30-2	U1-cTAL30-1	C2-cTAL30-1	C1-CCD30-1
ENSRNOG00000012379_Wdr18	55.77	39.94	36.99	49.54	64.69
ENSRNOG00000008604_Nsfl1c	135.46	45.00	78.51	109.73	105.61
ENSRNOG00000040715_5S_rRNA	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000012329_Saraf	292.18	60.42	42.88	57.33	290.28
ENSRNOG00000060153_Spry3	0.00	0.00	0.00	0.00	0.13
ENSRNOG00000004806_Strn	2.28	0.00	0.57	0.32	2.61
ENSRNOG00000061681_AABR07056526.1	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000021910_Nkx2-6	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000030191_Olr1055	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000057620_Slc6a8	1.57	1.61	10.57	5.78	2.61
ENSRNOG00000055015_AABR07015559.1	0.00	0.00	0.04	0.00	0.11
ENSRNOG00000061915_7SK	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000009735_Fibcd1	0.00	0.00	0.00	0.03	0.03
ENSRNOG00000035648_Mir211	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000007332_Sstr3	0.00	0.14	0.00	0.02	0.05
ENSRNOG00000055774_AABR07040285.1	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000020066_Pcdhb11	0.03	0.00	0.61	1.69	0.00
ENSRNOG00000030431_RT1-Db2	0.42	0.07	1.03	0.46	0.00
ENSRNOG00000015293_Tcte3	0.00	0.00	0.00	0.00	1.23
ENSRNOG00000010011_Osbpl3	3.77	0.72	9.66	7.35	4.06
ENSRNOG00000030091_Dusp14	33.02	16.51	56.00	41.07	19.12
ENSRNOG00000046260_LOC688320	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000017621_Spns1	13.06	2.08	14.50	13.59	19.13
ENSRNOG00000022249_Mllt10	2.52	0.76	2.38	2.44	3.83
ENSRNOG00000000841_Ddx39b	63.76	23.68	41.01	50.98	73.70
ENSRNOG00000058588_Nfxl1	5.75	0.59	0.93	0.75	4.47
ENSRNOG00000013300_Atp5if1	1924.11	2576.71	1384.29	1820.64	1596.65
ENSRNOG00000019918_Coasy	30.26	7.42	34.73	36.64	32.56
ENSRNOG00000001862_Ube2l3	120.05	67.45	99.28	120.90	118.74
ENSRNOG00000017443_Tmem87b	29.43	7.07	18.75	17.43	23.19
ENSRNOG00000009870_Tmem88	2.98	2.97	8.03	4.12	3.02
ENSRNOG00000011856_LOC108348154	1.36	0.24	0.20	0.12	1.52
ENSRNOG00000005918_RGD1563941	17.13	31.41	16.52	19.81	15.38
ENSRNOG00000051873_AABR07012762.1	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000055207_U6	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000043215_Rtbdn	0.09	0.00	0.08	0.00	0.27
ENSRNOG00000060714_AABR07007744.2	0.00	0.00	0.00	0.00	0.34
ENSRNOG00000023094_RGD1561661	0.00	0.00	0.09	0.00	0.00
ENSRNOG00000046347_Olr1370	0.00	0.13	0.00	0.10	0.31
ENSRNOG00000062136_AABR07006625.2	0.71	0.80	0.00	1.29	0.75
ENSRNOG00000020133_LOC108348044	0.00	0.00	0.10	0.00	0.00
