gene_id	C2-cTAL30-1.genes.results	U2-CCD30-2.genes.results	U4-CCD30-1.genes.results	C1-CCD30-1.genes.results	U1-cTAL30-1.genes.results
ENSRNOG00000053500_AABR07046970.1	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000006180_Pum2	1277.00	1737.00	1670.00	1310.00	1840.00
ENSRNOG00000006170_Bach2	1.00	0.00	4.00	1.00	8.00
ENSRNOG00000030870_LOC102550396	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000025862_Zp3r	1.00	0.00	0.00	0.00	0.00
ENSRNOG00000002452_Txndc11	121.00	96.00	205.00	327.00	90.00
ENSRNOG00000000104_Thoc3	743.00	248.00	742.00	584.00	526.00
ENSRNOG00000051809_AC095267.1	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000052516_AABR07034964.1	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000042727_RGD1563159	8.00	20.00	19.00	24.00	11.00
ENSRNOG00000014982_Slc35f4	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000027360_Srsf7	1332.00	1537.98	1421.97	1112.97	1486.99
ENSRNOG00000025639_Slc39a12	0.00	0.00	0.00	0.00	6.00
ENSRNOG00000057978_AABR07028997.1	29.52	0.00	38.11	30.15	36.14
ENSRNOG00000004604_Slc38a10	1239.00	38.00	853.00	424.00	1343.00
ENSRNOG00000004004_Nrde2	57.00	40.00	57.00	93.00	101.00
ENSRNOG00000051428	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000015807_Pyroxd2	3455.00	253.00	788.00	621.00	3877.00
ENSRNOG00000037185_AABR07058514.1	1.03	0.00	1.12	1.01	0.00
ENSRNOG00000052094_AABR07021392.1	0.00	0.00	0.00	0.00	0.00
ENSRNOG00000003233_Serpinf2	101.00	0.00	11.00	60.00	559.00
ENSRNOG00000005278_Trhde	8.00	4.00	4.00	13.00	1.00
ENSRNOG00000028930_Dab2	1224.00	1425.00	6620.00	4040.00	2747.00
ENSRNOG00000003401_AABR07029195.1	1.01	7.04	1.01	2.04	3.05
ENSRNOG00000060609_U6	0.00	0.00	0.00	0.00	0.00
